"Data,""Lançamento"",""Categoria"",""Tipo"",""Valor"""
"16/03/2025,""BISTEK SUPERMERCADOS   COCAL DO SUL  BRA"",""SUPERMERCADO"",""Compra à vista"",""R$ 76,61"""
"16/03/2025,""AUTO POSTO ANEL VIARI  CRICIUMA      BRA"",""TRANSPORTE"",""Compra à vista"",""R$ 221,06"""
"12/03/2025,""VARELA DA ROSA RODRIGU ICARA         BRA"",""DROGARIA"",""Compra à vista"",""R$ 99,62"""
"11/03/2025,""BISTEK SUPERMERCADOS   CRICIUMA      BRA"",""SUPERMERCADO"",""Compra à vista"",""R$ 137,71"""
"06/03/2025,""PPRO MICROSOFT         SAO PAULO     BRA"",""COMPRAS"",""Compra à vista"",""R$ 59,99"""
"05/03/2025,""RESGATE PONTOS"",""OUTROS"",""Compra à vista"",""R$ 5,00"""
"03/03/2025,""AUTO POSTO ANEL VIARI  CRICIUMA      BRA"",""TRANSPORTE"",""Compra à vista"",""R$ 207,84"""
"03/03/2025,""FORFARMA               COCAL DO SUL  SC"",""DROGARIA"",""Compra à vista"",""R$ 30,15"""
"27/02/2025,""PAGAMENTO ON LINE"",""OUTROS"",""Compra à vista"",""R$ 2.026,79"""
"26/02/2025,""SHOPEE  LiancomexTrade Florian poli  SC"",""SERVICOS"",""Compra à vista"",""R$ 66,46"""
"26/02/2025,""SUPERMERCADO MANENTI   CRICIUMA      SC"",""SUPERMERCADO"",""Compra à vista"",""R$ 73,38"""
"25/02/2025,""MP  GROWTHSUPPLEMENTS  TIJUCAS       SC"",""SAUDE"",""Parcela 1/2 da compra"",""R$ 108,69"""
"14/02/2025,""Monet                  CRICIUMA      BRA"",""BARES"",""Compra à vista"",""R$ 27,00"""
"31/01/2025,""MP  XEIDIARTE          So Paulo      BRA"",""VESTUARIO"",""Parcela 2/4 da compra"",""R$ 55,78"""
"21/01/2025,""Prodezensino           Criciuma      BRA"",""ENSINO"",""Parcela 3/12 da compra"",""R$ 74,58"""
"15/01/2025,""Prodezensino           Criciuma      BRA"",""ENSINO"",""Parcela 3/12 da compra"",""R$ 74,75"""
"06/01/2025,""LOJA BELA VISTA        CRICIUMA      BRA"",""CONSTRUCAO"",""Parcela 3/10 da compra"",""R$ 24,88"""
"30/12/2024,""LOJA BELA VISTA        CRICIUMA      BRA"",""CONSTRUCAO"",""Parcela 3/10 da compra"",""R$ 49,37"""
"24/12/2024,""LOJAS RENNER FL 354    CRICIUMA      BRA"",""VESTUARIO"",""Parcela 3/3 da compra"",""R$ 53,30"""
"10/12/2024,""Star chic"",""VESTUARIO"",""Parcela 4/4 da compra"",""R$ 84,95"""
